country,hours,minutes
Afghanistan,-1,0
Albania,-4,30
Australia,5,30
Belarus, -2,30
Brazil, -10,30
Bulgaria, -3,30
Canada, -9,30
Finland, -3,30
Qatar, -2,30
USA, -10,30
Russia,-2,30
Poland, -4,30
Hong Kong,2,30
Yemen, -2,30
Indonesia,2,30
Singapore,2,30
Bermuda, -9,30
Chile, -10,30
Mexico, -11,30
Mali,-5,30
Nepal,0,15
Cuba, -10,30
Denmark,-4,30
Egypt, -3,30
Ethiopia, -2,30
Portugal, -6,30
Romania, -3,30
Greece, -3,30
Greenland, -5,30
China, 2,30
Myanmar, 1,6
Norway, -4,30
Oman,-1,30
Pakistan, 0, -30
Peru, -10,30
